customer_id,order_date,order_value,segment
C00020,2025-06-01,9.65,retail
C00337,2025-06-01,43.62,retail
C00529,2025-06-01,31.37,retail
C00720,2025-06-01,26.14,retail
C01000,2025-06-01,57.76,retail
C01499,2025-06-01,20.98,retail
C01977,2025-06-01,31.83,retail
C03156,2025-06-01,39.69,retail
W020,2025-06-01,134.66,wholesale
C00106,2025-06-02,16.15,retail
C00255,2025-06-02,37.15,retail
C00459,2025-06-02,42.2,retail
C01780,2025-06-02,18.49,retail
C01909,2025-06-02,13.26,retail
C01984,2025-06-02,76.59,retail
C02107,2025-06-02,31.47,retail
C03974,2025-06-02,36.6,retail
W003,2025-06-02,227.63,wholesale
W011,2025-06-02,151.75,wholesale
C00537,2025-06-03,49.35,retail
C00864,2025-06-03,21.76,retail
C01030,2025-06-03,26.61,retail
C01525,2025-06-03,17.96,retail
C01885,2025-06-03,75.59,retail
C02172,2025-06-03,22.25,retail
C02583,2025-06-03,34.84,retail
C02616,2025-06-03,63.85,retail
C03029,2025-06-03,49.45,retail
C03123,2025-06-03,63.54,retail
C03700,2025-06-03,23.8,retail
C00065,2025-06-04,122.11,retail
C00112,2025-06-04,45.25,retail
C00272,2025-06-04,35.78,retail
C00279,2025-06-04,84.22,retail
C00712,2025-06-04,18.57,retail
C00937,2025-06-04,61.82,retail
C01373,2025-06-04,61.35,retail
C01859,2025-06-04,60.05,retail
C01965,2025-06-04,27.5,retail
C02702,2025-06-04,41.18,retail
C03060,2025-06-04,35.26,retail
C03309,2025-06-04,35.67,retail
W005,2025-06-04,398.43,wholesale
W014,2025-06-04,510.37,wholesale
C00040,2025-06-05,61.2,retail
C00115,2025-06-05,19.09,retail
C00144,2025-06-05,30.93,retail
C00946,2025-06-05,49.84,retail
C01331,2025-06-05,38.73,retail
C01418,2025-06-05,75.89,retail
C01792,2025-06-05,54.23,retail
C02542,2025-06-05,31.5,retail
C02648,2025-06-05,43.22,retail
C03006,2025-06-05,31.8,retail
C03906,2025-06-05,11.77,retail
C00512,2025-06-06,45.63,retail
C01107,2025-06-06,45.23,retail
C01814,2025-06-06,20.06,retail
C01980,2025-06-06,28.42,retail
C02804,2025-06-06,21.67,retail
C03200,2025-06-06,29.59,retail
W010,2025-06-06,262.63,wholesale
W011,2025-06-06,147.34,wholesale
W023,2025-06-06,267.19,wholesale
C00525,2025-06-07,53.01,retail
C01005,2025-06-07,46.79,retail
C01084,2025-06-07,37.66,retail
C01129,2025-06-07,48.54,retail
C01155,2025-06-07,23.44,retail
C01312,2025-06-07,60.07,retail
C01496,2025-06-07,42.01,retail
C01562,2025-06-07,20.34,retail
C02144,2025-06-07,18.84,retail
C02251,2025-06-07,46.28,retail
C02419,2025-06-07,49.62,retail
C02420,2025-06-07,28.78,retail
C02800,2025-06-07,34.11,retail
C03300,2025-06-07,67.65,retail
C03406,2025-06-07,26.48,retail
C03548,2025-06-07,44.61,retail
C03754,2025-06-07,44.37,retail
C03890,2025-06-07,16.79,retail
C03910,2025-06-07,69.08,retail
W005,2025-06-07,390.89,wholesale
C00035,2025-06-08,64.21,retail
C00730,2025-06-08,14.85,retail
C00784,2025-06-08,23.03,retail
C01278,2025-06-08,38.32,retail
C01949,2025-06-08,33.05,retail
C02322,2025-06-08,38.73,retail
C02732,2025-06-08,18.41,retail
C02812,2025-06-08,109.9,retail
C03083,2025-06-08,36.33,retail
C03086,2025-06-08,16.65,retail
C03484,2025-06-08,49.86,retail
C03683,2025-06-08,15.71,retail
C00131,2025-06-09,20.42,retail
C00277,2025-06-09,56.83,retail
C00744,2025-06-09,25.22,retail
C01784,2025-06-09,32.83,retail
C01930,2025-06-09,14.33,retail
C02171,2025-06-09,51.05,retail
C02529,2025-06-09,30.0,retail
C02565,2025-06-09,33.84,retail
C02917,2025-06-09,18.89,retail
C02979,2025-06-09,52.84,retail
C03000,2025-06-09,35.2,retail
C03810,2025-06-09,16.28,retail
W003,2025-06-09,500.28,wholesale
W028,2025-06-09,211.45,wholesale
C00042,2025-06-10,55.6,retail
C00287,2025-06-10,30.85,retail
C00333,2025-06-10,18.46,retail
C00365,2025-06-10,30.37,retail
C00474,2025-06-10,43.5,retail
C00486,2025-06-10,35.9,retail
C00592,2025-06-10,89.88,retail
C00601,2025-06-10,38.07,retail
C01420,2025-06-10,68.6,retail
C01485,2025-06-10,91.29,retail
C01523,2025-06-10,33.89,retail
C01578,2025-06-10,31.59,retail
C01906,2025-06-10,31.59,retail
C02122,2025-06-10,35.32,retail
C03898,2025-06-10,57.1,retail
W020,2025-06-10,298.8,wholesale
W023,2025-06-10,178.3,wholesale
C00029,2025-06-11,44.5,retail
C00327,2025-06-11,80.6,retail
C00610,2025-06-11,64.72,retail
C00956,2025-06-11,20.5,retail
C01304,2025-06-11,112.17,retail
C01394,2025-06-11,24.72,retail
C01672,2025-06-11,13.8,retail
C01818,2025-06-11,37.97,retail
C02461,2025-06-11,29.7,retail
C03297,2025-06-11,53.63,retail
C03519,2025-06-11,113.94,retail
C03594,2025-06-11,41.73,retail
C03615,2025-06-11,18.01,retail
C03636,2025-06-11,96.93,retail
C03680,2025-06-11,42.13,retail
C03937,2025-06-11,40.54,retail
C00382,2025-06-12,28.04,retail
C00518,2025-06-12,43.92,retail
C00611,2025-06-12,22.95,retail
C00836,2025-06-12,36.06,retail
C00999,2025-06-12,16.65,retail
C01008,2025-06-12,66.9,retail
C01104,2025-06-12,18.76,retail
C02496,2025-06-12,76.9,retail
C03052,2025-06-12,32.3,retail
W005,2025-06-12,173.0,wholesale
W020,2025-06-12,233.19,wholesale
W023,2025-06-12,221.35,wholesale
C00990,2025-06-13,33.51,retail
C01101,2025-06-13,33.7,retail
C01234,2025-06-13,41.72,retail
C01530,2025-06-13,62.81,retail
C01558,2025-06-13,30.43,retail
C01658,2025-06-13,41.5,retail
C01958,2025-06-13,46.84,retail
C02663,2025-06-13,57.75,retail
C03920,2025-06-13,16.57,retail
W005,2025-06-13,251.73,wholesale
C00211,2025-06-14,21.15,retail
C00741,2025-06-14,18.28,retail
C01798,2025-06-14,45.09,retail
C02761,2025-06-14,25.35,retail
C02966,2025-06-14,26.54,retail
C03550,2025-06-14,47.23,retail
C03660,2025-06-14,14.99,retail
C03734,2025-06-14,54.39,retail
C03760,2025-06-14,27.99,retail
