user_id,install_date,activity_date,sessions
P00074,2026-06-01,2026-06-01,4
P00114,2026-06-01,2026-06-01,1
P00127,2026-06-01,2026-06-01,3
P00152,2026-06-01,2026-06-01,4
P00156,2026-06-01,2026-06-01,5
P00220,2026-06-01,2026-06-01,5
P00230,2026-06-01,2026-06-01,4
P00278,2026-06-01,2026-06-01,4
P00313,2026-06-01,2026-06-01,2
P00441,2026-06-01,2026-06-01,5
P00527,2026-06-01,2026-06-01,1
P00551,2026-06-01,2026-06-01,3
P00560,2026-06-01,2026-06-01,1
P00599,2026-06-01,2026-06-01,1
P00617,2026-06-01,2026-06-01,1
P00621,2026-06-01,2026-06-01,5
P00686,2026-06-01,2026-06-01,2
P00727,2026-06-01,2026-06-01,1
P00740,2026-06-01,2026-06-01,1
P00746,2026-06-01,2026-06-01,1
P00766,2026-06-01,2026-06-01,5
P00794,2026-06-01,2026-06-01,2
P00799,2026-06-01,2026-06-01,2
P00844,2026-06-01,2026-06-01,2
P01050,2026-06-01,2026-06-01,5
P01218,2026-06-01,2026-06-01,3
P01327,2026-06-01,2026-06-01,4
P01375,2026-06-01,2026-06-01,5
P01421,2026-06-01,2026-06-01,4
P01423,2026-06-01,2026-06-01,1
P01424,2026-06-01,2026-06-01,2
P01466,2026-06-01,2026-06-01,1
P01605,2026-06-01,2026-06-01,1
P01651,2026-06-01,2026-06-01,2
P01748,2026-06-01,2026-06-01,3
P01775,2026-06-01,2026-06-01,2
P02062,2026-06-01,2026-06-01,4
P02121,2026-06-01,2026-06-01,1
P02346,2026-06-01,2026-06-01,4
P02385,2026-06-01,2026-06-01,3
P02488,2026-06-01,2026-06-01,5
P02498,2026-06-01,2026-06-01,2
P02534,2026-06-01,2026-06-01,1
P02657,2026-06-01,2026-06-01,4
P02859,2026-06-01,2026-06-01,2
P03082,2026-06-01,2026-06-01,2
P03149,2026-06-01,2026-06-01,5
P03159,2026-06-01,2026-06-01,3
P03242,2026-06-01,2026-06-01,4
P03382,2026-06-01,2026-06-01,4
P03524,2026-06-01,2026-06-01,5
P03550,2026-06-01,2026-06-01,3
P03602,2026-06-01,2026-06-01,1
P03704,2026-06-01,2026-06-01,3
P03856,2026-06-01,2026-06-01,5
P03864,2026-06-01,2026-06-01,1
P03934,2026-06-01,2026-06-01,5
P03940,2026-06-01,2026-06-01,5
P03981,2026-06-01,2026-06-01,2
P04303,2026-06-01,2026-06-01,2
P04409,2026-06-01,2026-06-01,4
P04456,2026-06-01,2026-06-01,3
P04700,2026-06-01,2026-06-01,4
P04736,2026-06-01,2026-06-01,3
P04793,2026-06-01,2026-06-01,5
P04988,2026-06-01,2026-06-01,2
P05083,2026-06-01,2026-06-01,3
P05114,2026-06-01,2026-06-01,3
P05209,2026-06-01,2026-06-01,2
P05260,2026-06-01,2026-06-01,5
P05352,2026-06-01,2026-06-01,2
P05454,2026-06-01,2026-06-01,4
P05463,2026-06-01,2026-06-01,5
P05518,2026-06-01,2026-06-01,4
P05697,2026-06-01,2026-06-01,3
P05741,2026-06-01,2026-06-01,1
P05750,2026-06-01,2026-06-01,3
P05770,2026-06-01,2026-06-01,5
P05848,2026-06-01,2026-06-01,1
P05853,2026-06-01,2026-06-01,4
P05968,2026-06-01,2026-06-01,1
P06003,2026-06-01,2026-06-01,2
P06011,2026-06-01,2026-06-01,1
P06050,2026-06-01,2026-06-01,5
P06154,2026-06-01,2026-06-01,5
P06290,2026-06-01,2026-06-01,3
P06318,2026-06-01,2026-06-01,5
P06332,2026-06-01,2026-06-01,3
P06339,2026-06-01,2026-06-01,4
P06444,2026-06-01,2026-06-01,3
P06547,2026-06-01,2026-06-01,3
P06549,2026-06-01,2026-06-01,4
P06590,2026-06-01,2026-06-01,2
P07016,2026-06-01,2026-06-01,3
P07049,2026-06-01,2026-06-01,4
P07111,2026-06-01,2026-06-01,3
P07118,2026-06-01,2026-06-01,4
P07175,2026-06-01,2026-06-01,5
P07232,2026-06-01,2026-06-01,5
P07249,2026-06-01,2026-06-01,3
P07266,2026-06-01,2026-06-01,5
P07272,2026-06-01,2026-06-01,5
P07273,2026-06-01,2026-06-01,3
P07300,2026-06-01,2026-06-01,3
P07424,2026-06-01,2026-06-01,3
P07710,2026-06-01,2026-06-01,4
